goos: linux
goarch: amd64
pkg: github.com/getsyntegrity/go-specs/specs
cpu: 13th Gen Intel(R) Core(TM) i7-13620H
BenchmarkFalseSharing_Chunk16_Baseline-2   	   55471	     50868 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   52224	     47331 ns/op	   98703 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   54643	     44341 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   59868	     42863 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   54658	     45102 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   54082	     43095 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   53948	     48194 ns/op	   98703 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   58132	     36904 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   61730	     39810 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   65678	     37509 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   66982	     37575 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   61699	     43688 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   61306	     46067 ns/op	   98703 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   58255	     48584 ns/op	   98703 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-2   	   49315	     44266 ns/op	   98702 B/op	      12 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   71881	     39747 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   59727	     36338 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   64849	     34274 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   65980	     36971 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   63781	     40502 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   60271	     41709 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   53560	     41690 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   60914	     40149 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   64994	     41769 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   58501	     38178 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   64633	     38151 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   62661	     37671 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   51756	     40089 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   64807	     39240 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   61582	     37466 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   66052	     35459 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   69498	     43326 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   64737	     36594 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   71054	     35363 ns/op	   99045 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-4   	   68937	     34077 ns/op	   99046 B/op	      18 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   59818	     43802 ns/op	   99722 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   52918	     44693 ns/op	   99719 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   48447	     48924 ns/op	   99719 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   45764	     54999 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   46369	     47806 ns/op	   99721 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   52102	     46398 ns/op	   99721 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   54852	     51764 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   46995	     48499 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   48976	     51095 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   51693	     48710 ns/op	   99722 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   54570	     47682 ns/op	   99720 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   51032	     50634 ns/op	   99720 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   46789	     45176 ns/op	   99719 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   54888	     45616 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   56070	     43424 ns/op	   99719 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   52839	     45122 ns/op	   99719 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   50017	     57434 ns/op	   99722 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   52682	     42867 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   55194	     45758 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Baseline-8   	   46359	     45799 ns/op	   99718 B/op	      30 allocs/op
BenchmarkFalseSharing_Chunk16_Padded       	   61642	     35171 ns/op	   98553 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk16_Padded       	   68172	     34884 ns/op	   98553 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk16_Padded       	   68210	     35936 ns/op	   98553 B/op	       8 allocs/op
